Date : 2023-11-15 19:57:08
Directory : c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src
Total : 248 files,  33103 codes, 416 comments, 2735 blanks, all 36254 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| icons\IconCtaCaretOpen                                                                                                                               |          2 |         20 |          4 |          4 |         28 |
| icons\IconDownload                                                                                                                                   |          2 |         21 |          4 |          4 |         29 |
| icons\IconExport                                                                                                                                     |          2 |         25 |          4 |          4 |         33 |
| icons\IconFilledCursor1                                                                                                                              |          2 |         66 |          4 |          4 |         74 |
| icons\IconFilter                                                                                                                                     |          2 |         22 |          4 |          4 |         30 |
| icons\IconFilterClear                                                                                                                                |          2 |         27 |          4 |          4 |         35 |
| icons\IconFilterOff                                                                                                                                  |          2 |         27 |          4 |          4 |         35 |
| icons\IconInfo                                                                                                                                       |          2 |         24 |          4 |          4 |         32 |
| icons\IconInfo3                                                                                                                                      |          2 |         24 |          4 |          4 |         32 |
| icons\IconMinusLarge                                                                                                                                 |          2 |         16 |          4 |          4 |         24 |
| icons\IconPlusLarge3                                                                                                                                 |          2 |         20 |          4 |          4 |         28 |
| icons\IconPlusSmall                                                                                                                                  |          2 |         16 |          4 |          4 |         24 |
| icons\IconSaveFloppy                                                                                                                                 |          2 |         28 |          4 |          4 |         36 |
| icons\IconSearch                                                                                                                                     |          2 |         22 |          4 |          4 |         30 |
| icons\IconUpload                                                                                                                                     |          2 |         21 |          4 |          4 |         29 |
| icons\Line                                                                                                                                           |          2 |         26 |          4 |          4 |         34 |
| icons\Path13                                                                                                                                         |          2 |         20 |          4 |          4 |         28 |
| icons\Path28                                                                                                                                         |          2 |         20 |          4 |          4 |         28 |
| icons\Path29                                                                                                                                         |          2 |         20 |          4 |          4 |         28 |
| icons\Path38                                                                                                                                         |          2 |         20 |          4 |          4 |         28 |
| icons\Path414                                                                                                                                        |          2 |         20 |          4 |          4 |         28 |
| icons\Path415                                                                                                                                        |          2 |         20 |          4 |          4 |         28 |
| icons\Path5                                                                                                                                          |          2 |         20 |          4 |          4 |         28 |
| icons\Path6                                                                                                                                          |          2 |         20 |          4 |          4 |         28 |
| icons\Path690                                                                                                                                        |          2 |         20 |          4 |          4 |         28 |
| icons\Shape1019                                                                                                                                      |          2 |         22 |          4 |          4 |         30 |
| icons\Shape19                                                                                                                                        |          2 |         22 |          4 |          4 |         30 |
| icons\Shape2                                                                                                                                         |          2 |         22 |          4 |          4 |         30 |
| icons\Shape365                                                                                                                                       |          2 |         22 |          4 |          4 |         30 |
| icons\Shape561                                                                                                                                       |          2 |         22 |          4 |          4 |         30 |
| icons\Shape578                                                                                                                                       |          2 |         22 |          4 |          4 |         30 |
| icons\Shape830                                                                                                                                       |          2 |         22 |          4 |          4 |         30 |
| icons\Shape99                                                                                                                                        |          2 |         22 |          4 |          4 |         30 |
| icons\StepActionsBgFocusCopy16                                                                                                                       |          2 |         24 |          4 |          4 |         32 |
| icons\TabItemBar23                                                                                                                                   |          2 |         14 |          4 |          4 |         22 |
| icons\Vector10                                                                                                                                       |          2 |         61 |          4 |          4 |         69 |
| icons\Vector11                                                                                                                                       |          2 |         22 |          4 |          4 |         30 |
| icons\Vector6                                                                                                                                        |          2 |         61 |          4 |          4 |         69 |
| icons\Vector7                                                                                                                                        |          2 |         61 |          4 |          4 |         69 |
| icons\Vector8                                                                                                                                        |          2 |         61 |          4 |          4 |         69 |
| icons\Vector9                                                                                                                                        |          2 |         61 |          4 |          4 |         69 |
| screens                                                                                                                                              |         48 |     28,443 |          8 |      2,109 |     30,560 |
| screens\Cbpm                                                                                                                                         |          3 |        217 |          1 |         31 |        249 |
| screens\CbpmScreen                                                                                                                                   |          3 |      1,635 |          0 |        139 |      1,774 |
| screens\DivWrapper                                                                                                                                   |          3 |      1,377 |          0 |        114 |      1,491 |
| screens\Screen10                                                                                                                                     |          3 |      2,278 |          1 |        159 |      2,438 |
| screens\Screen11                                                                                                                                     |          3 |      2,735 |          1 |        168 |      2,904 |
| screens\Screen12                                                                                                                                     |          3 |      2,735 |          1 |        170 |      2,906 |
| screens\Screen13                                                                                                                                     |          3 |      2,514 |          1 |        172 |      2,687 |
| screens\Screen14                                                                                                                                     |          3 |      2,523 |          1 |        176 |      2,700 |
| screens\Screen15                                                                                                                                     |          3 |      2,486 |          2 |        173 |      2,661 |
| screens\Screen3                                                                                                                                      |          3 |      4,157 |          0 |        263 |      4,420 |
| screens\Screen4                                                                                                                                      |          3 |      1,301 |          0 |        121 |      1,422 |
| screens\Screen5                                                                                                                                      |          3 |        524 |          0 |         52 |        576 |
| screens\Screen6                                                                                                                                      |          3 |        412 |          0 |         37 |        449 |
| screens\Screen7                                                                                                                                      |          3 |        949 |          0 |         91 |      1,040 |
| screens\Screen8                                                                                                                                      |          3 |      1,291 |          0 |        120 |      1,411 |
| screens\Screen9                                                                                                                                      |          3 |      1,309 |          0 |        123 |      1,432 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                             | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\App.jsx                                                     | JavaScript JSX |         21 |         72 |          1 |         94 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Alerts\Alerts.jsx                                | JavaScript JSX |         48 |          4 |          7 |         59 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Alerts\Alerts.stories.js                         | JavaScript     |         13 |          0 |          3 |         16 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Alerts\index.js                                  | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Alerts\style.css                                 | CSS            |        105 |          0 |         19 |        124 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\AtomsIconWrapper\AtomsIconWrapper.jsx            | JavaScript JSX |          9 |          4 |          3 |         16 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\AtomsIconWrapper\AtomsIconWrapper.stories.js     | JavaScript     |         11 |          0 |          3 |         14 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\AtomsIconWrapper\index.js                        | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\AtomsIconWrapper\style.css                       | CSS            |         10 |          0 |          2 |         12 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\AtomsIcon\AtomsIcon.jsx                          | JavaScript JSX |         18 |          4 |          3 |         25 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\AtomsIcon\AtomsIcon.stories.js                   | JavaScript     |         10 |          0 |          3 |         13 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\AtomsIcon\index.js                               | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\AtomsIcon\style.css                              | CSS            |         32 |          0 |          6 |         38 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Bar\Bar.jsx                                      | JavaScript JSX |          9 |          4 |          4 |         17 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Bar\Bar.stories.js                               | JavaScript     |         11 |          0 |          3 |         14 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Bar\index.js                                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Bar\style.css                                    | CSS            |         10 |          0 |          3 |         13 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Divider\Divider.jsx                              | JavaScript JSX |          9 |          4 |          4 |         17 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Divider\Divider.stories.js                       | JavaScript     |         11 |          0 |          3 |         14 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Divider\index.js                                 | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Divider\style.css                                | CSS            |         31 |          0 |          5 |         36 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\GlobalHeader\GlobalHeader.jsx                    | JavaScript JSX |        160 |          4 |          9 |        173 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\GlobalHeader\GlobalHeader.stories.js             | JavaScript     |         25 |          0 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\GlobalHeader\index.js                            | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\GlobalHeader\style.css                           | CSS            |        219 |          0 |         37 |        256 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconClose\IconClose.jsx                          | JavaScript JSX |          6 |          4 |          3 |         13 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconClose\IconClose.stories.js                   | JavaScript     |          8 |          0 |          3 |         11 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconClose\index.js                               | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconClose\style.css                              | CSS            |          7 |          0 |          1 |          8 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconSearchWrapper\IconSearchWrapper.jsx          | JavaScript JSX |          6 |          4 |          3 |         13 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconSearchWrapper\IconSearchWrapper.stories.js   | JavaScript     |          8 |          0 |          3 |         11 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconSearchWrapper\index.js                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconSearchWrapper\style.css                      | CSS            |          7 |          0 |          1 |          8 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LinkWidget\LinkWidget.jsx                        | JavaScript JSX |        204 |          4 |          4 |        212 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LinkWidget\LinkWidget.stories.js                 | JavaScript     |         30 |          0 |          3 |         33 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LinkWidget\index.js                              | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LinkWidget\style.css                             | CSS            |         89 |          0 |         13 |        102 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LogoCanvaslogo\LogoCanvaslogo.jsx                | JavaScript JSX |         27 |          4 |          3 |         34 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LogoCanvaslogo\LogoCanvaslogo.stories.js         | JavaScript     |         11 |          0 |          3 |         14 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LogoCanvaslogo\index.js                          | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LogoCanvaslogo\style.css                         | CSS            |         71 |          0 |         11 |         82 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Scrollbar\Scrollbar.jsx                          | JavaScript JSX |         13 |          4 |          4 |         21 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Scrollbar\Scrollbar.stories.js                   | JavaScript     |         11 |          0 |          3 |         14 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Scrollbar\index.js                               | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Scrollbar\style.css                              | CSS            |         28 |          0 |          5 |         33 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\SearchInput\SearchInput.jsx                      | JavaScript JSX |         53 |          4 |          6 |         63 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\SearchInput\SearchInput.stories.js               | JavaScript     |         14 |          0 |          3 |         17 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\SearchInput\index.js                             | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\SearchInput\style.css                            | CSS            |        178 |          0 |         27 |        205 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TabItems\TabItems.jsx                            | JavaScript JSX |         47 |          4 |          8 |         59 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TabItems\TabItems.stories.js                     | JavaScript     |         16 |          0 |          3 |         19 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TabItems\index.js                                | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TabItems\style.css                               | CSS            |        174 |          0 |         29 |        203 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Tab\Tab.jsx                                      | JavaScript JSX |        117 |          4 |          9 |        130 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Tab\Tab.stories.js                               | JavaScript     |         37 |          0 |          3 |         40 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Tab\index.js                                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Tab\style.css                                    | CSS            |          7 |          0 |          1 |          8 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TreeMenu\TreeMenu.jsx                            | JavaScript JSX |         92 |          4 |         15 |        111 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TreeMenu\TreeMenu.stories.js                     | JavaScript     |         20 |          0 |          3 |         23 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TreeMenu\index.js                                | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TreeMenu\style.css                               | CSS            |        218 |          0 |         39 |        257 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close2\AtomsIcon2019Close2.jsx           | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close2\index.js                          | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close4\AtomsIcon2019Close4.jsx           | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close4\index.js                          | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close578\AtomsIcon2019Close578.jsx       | JavaScript JSX |         24 |          4 |          3 |         31 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close578\index.js                        | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close579\AtomsIcon2019Close579.jsx       | JavaScript JSX |         24 |          4 |          3 |         31 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close579\index.js                        | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close62\AtomsIcon2019Close62.jsx         | JavaScript JSX |         31 |          4 |          3 |         38 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close62\index.js                         | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close68\AtomsIcon2019Close68.jsx         | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close68\index.js                         | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close702\AtomsIcon2019Close702.jsx       | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close702\index.js                        | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close71\AtomsIcon2019Close71.jsx         | JavaScript JSX |         19 |          4 |          3 |         26 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close71\index.js                         | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close94\AtomsIcon2019Close94.jsx         | JavaScript JSX |         23 |          4 |          4 |         31 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close94\index.js                         | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Menu1\AtomsIcon2019Menu1.jsx             | JavaScript JSX |         17 |          4 |          3 |         24 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Menu1\index.js                           | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Checkbox1\Checkbox1.jsx                               | JavaScript JSX |         21 |          4 |          3 |         28 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Checkbox1\index.js                                    | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Checkbox\Checkbox.jsx                                 | JavaScript JSX |         26 |          4 |          4 |         34 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Checkbox\index.js                                     | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click2\Click2.jsx                                     | JavaScript JSX |         91 |          4 |          3 |         98 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click2\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click3\Click3.jsx                                     | JavaScript JSX |         91 |          4 |          3 |         98 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click3\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click4\Click4.jsx                                     | JavaScript JSX |         91 |          4 |          3 |         98 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click4\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click5\Click5.jsx                                     | JavaScript JSX |         91 |          4 |          3 |         98 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click5\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click6\Click6.jsx                                     | JavaScript JSX |         91 |          4 |          3 |         98 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click6\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click7\Click7.jsx                                     | JavaScript JSX |         91 |          4 |          3 |         98 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click7\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click8\Click8.jsx                                     | JavaScript JSX |         91 |          4 |          3 |         98 |
| c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Click8\index.js                                       | JavaScript     |          1 |          0 |          1 |          2 |
